orig,kr
騎士であれば知らない者はいない、武勲と栄誉の象徴。秘術によって磨き抜かれた輝きの剣である。手にすれば、竜さえ物の数ではない。,기사라면 모르는 사람이 없는 무훈과 명예의 상징。비술로 연마된 빛의 검으로 용이라 할지라도 가볍게 베어낸다
クリーオウ・ゲッシュ,클라우 게쉬
光属性ダメージ(特大)/ダブルアタック確率UP,광속성 데미지(특대) / 더블어택 확률 UP
貴顕の防衛策,귀현의 방위책
バトルの最初のターン開始時、光属性キャラに弱体効果無効効果(*回),"배틀의 첫 턴 시작 시, 광속성 캐릭터에게 약화 효과 무효 효과를 부여(*회)"


アルバコアブレード,알바코어 블레이드
島の住民を恐れさせた巨大魚にあやかって作られた剣。一見奇妙なこの剣は、ユディスティラ島における縁起物である。,섬의 주민들을 두려움에 떨게한 거대한 물고기를 본떠 만든 검。언뜻 보기에도 기묘한 검은 유디스틸라 섬의 특산품이다
トゥンヌスブリッツ,튜나스 블리츠
闇属性ダメージ(特大)/アビリティダメージUP,암속성 데미지(특대) / 어빌리티 데미지 UP


世界樹の晶剣・マグナ,세계수의 정검・마그나
創世樹はひとりの騎空士に剣を託した。その一振りは死の大地に生命の繁栄を与え、未来を切り拓く。,창세수는 한 기공사에게 검을 맡겼다。그 힘으로 죽음의 대지에 생명의 번영시키고 미래를 개척했다
ネザーマントル,네더 맨틀
土属性ダメージ(大)/火属性追加ダメージ,토속성 데미지(대) / 화속성 추가 데미지


バルムンク,발뭉
宝玉が瞬き、刀身は青き炎のごとく揺らめく。灼熱の刃が一撫ですれば、万物はもろく溶け崩れる。,보석이 반짝이고 칼날은 푸른 불꽃처럼 일렁인다。작렬하는 칼날로 베어버리면 만물은 맥없이 녹아내린다
クリムゾンカラミティ,크림슨 캘러미티
火属性ダメージ(特大)/防御DOWN,화속성 데미지(특대) / 방어 DOWN


七星剣・真,칠성검・진
七色に輝く宝珠の真意は不落と鎮護。暗澹たる世界を斬り裂く雲霓の輝きは、森羅万象に抗し難い畏怖を与え、抱きし敵愾心を粉々に打ち砕く。,일곱색으로 빛나는 보주의 의미는 불락(不落)과 진호(鎮護)。암담한 세계를 가르는 홍예의 빛은 삼라만상에 저항할 수 없는 두려움을 안겨주며 적의를 산산조각 낸다
北斗大極閃＋,북두대극섬＋
光属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),광속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷(**%)


七星剣・焔,칠성검・염
燃え盛る紅蓮の焔を身に宿す至純の霊宝。振えば熱波を巻き起こし、翳せば炎の雨が降り注ぐ。その激昂は遥かな空を焼き焦がす。,타오르는 홍련의 불꽃을 머금은 지순한 영보。휘두르면 열파를 일으키고 치켜 올리면 불의 비가 내린다。그 격양은 아득히 높은 하늘을 불태운다
火属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),화속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷 (**%)


七星剣・雪,칠성검・설
絶対零度の力を身に宿す至純の霊宝。気力を奪う白き瘴気を纏い、有相無相を氷晶へと変貌させる。沈黙の連鎖に抗う術を持たない世界は永遠の静寂を強いられる。,절대영도의 힘을 머금은 지순한 영보。기력을 빼앗는 하얀 독기를 걸치고 모든것을 얼음결정으로 만들어버린다. 침묵의 연쇄를 견딜 재간이 없는 세계는 영원한 정적을 강요받는다
水属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),수속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷 (**%)


七星剣・界,칠성검・계
脈動する大地の力を身に宿す至純の霊宝。殲滅の意思に大地は呼応し、命あるが如く鳴動する。付き従えるは世界そのもの。,맥동하는 대지의 힘을 머금은 지순한 영보. 적을 섬멸하겠다는 의지에 대지가 반응해 살아있는 것처럼 진동하기 시작한다。복종하는 것은 세계 그 자체다
土属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),토속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷 (**%)


七星剣・凪,칠성검・지
粛然とする凪を身に宿す至純の霊宝。吹き荒ぶ暴風をも容易く恭順させるその姿は、猛り狂う空の頂に君臨する者に相応しい。,엄숙한 고요함을 머금은 지순한 영보。휘몰아치는 폭풍도 손쉽게 잠재우는 그 모습은、사납게 날뛰는 하늘의 정상에 군림하는 자에게 어울린다
風属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),풍속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷 (**%)


七星剣・煌,칠성검・황
暗闇を暴く煌めきを身に宿す至純の霊宝。宝珠が白き光を放つとき、あらゆる罪が裁かれる。真実を見通す裁きの光からは何人たりとも逃れられない。,어둠을 파헤치는 빛을 머금은 지순한 영보。보주가 밝은 빛을 발하면 모든 죄를 심판한다。누구도 진실을 꿰뚫어 보는 심판의 빛에서 달아날 수 없다


七星剣・煉,칠성검・연
万象を喰らう闇の力を身に宿す至純の霊宝。妖艶に煌く宝珠はこの世の全てを魅了する。意志強き生者も、意志無き死者も。全てが全て、思うがまま。,만상을 먹어치우는 어둠의 힘을 머금은 지순한 영보。요염히 빛나는 보주는 이 세상 모든 것을 홀린다。강인한 의지를 지닌 산 자도 의지를 상실한 죽은자도 세상의 그 모든 것을...
闇属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),암속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷 (**%)


ミストルテイン,미스틸테인
禍禍しい紫の輝きを放つ刃は傷をつけるだけで命ある者から魂だけを奪い去る。柄頭に刻まれた骸骨は奪った魂を咀嚼し続け、永遠の苦しみを与える。,불길한 보라빛의 칼날은 상처를 입히면 그 생명의 영혼만을 빼앗는다。검에 새겨진 해골은 빼앗은 영혼을 음미하고 영원한 고통을 준다
ブレイザブリク,브레이다블리크
闇属性ダメージ(特大)/防御UP,암속성 데미지(특대) / 방어 UP
血啜りの一閃,피를 마시는 일섬
被ダメージ時に確率でカウンター　◆メイン装備時/主人公のみ,데미지를 받을 때 확률로 카운터 ◆메인 장비시 / 주인공만


風神剣,풍신검
猛り狂う風神が巻き起こした壮絶な嵐は天地を斬り荒らした末に一振りの剣に変貌した。触れた者を粉砕する暴風を纏った流麗な刃は、星の獣すら塵芥にしてしまう。,사납게 날뛰는 풍신이 일으킨 장렬한 폭풍은 천지를 베고 난 뒤 한 자루의 검으로 변모했다。닿은 자를 분쇄하는 폭풍을 휘감은 유려한 칼날은 별의 짐승조차 조각내버린다
真・烈風,진・열풍
風属性ダメージ(特大)/風属性攻撃UP,풍속성 데미지(특대) / 풍속성 공격 UP


アンノウンソード,언노운 소드
高く掲げるその切先から見下ろすは不遜なる双眸。異質なる力は万物を切り伏せ、見る者全ての脳裏にその眼差しを刻み込む。,높이 치켜든 칼끝에서 내려다보는 불손한 눈빛。이질적인 힘은 만물을 베어내고 보는이의 뇌리에 그 눈빛을 아로새긴다.
未確認生物、荒ぶる。,"미확인 생물, 날뛰다"
火属性ダメージ(特大)/奥義ゲージ上昇量ランダムUP,화속성 데미지(특대) / 오의 게이지 상승량 랜덤 UP


カラドボルグ,칼라드볼그
加護を授けられし強靭なる刃は雷光の如く閃き、立ち塞がる対敵を容易に寸断する。栄光の剣は握る者に英雄の座を授け、名誉ある勝利へと導く。,가호를 받은 강인한 칼날은 번개처럼 번뜩이며 가로막는 적을 손쉽게 찢어버린다。영광의 검은 주인에게 영웅의 자리를 주고 명예로운 승리로 이끈다
ディヴァイン・パニッシュメント,디바인 퍼니시먼트
光属性ダメージ(特大)/攻撃UP,광속성 데미지(특대) / 공격 UP
聖女の行進,성녀의 행진
光属性キャラの攻撃力上昇(大)/メイン装備時に主人公だけ再生効果(***回復)<br>◆攻撃力上昇効果は「天光の攻刃」として扱う,광속성 캐릭터의 공격력 상승 (대) / 메인 장비시 주인공에게만 재생 효과 (*** 회복)<br>◆공격력 상승 효과는 [천광의 공인]으로 취급한다
再生効果　◆メイン装備時/主人公のみ,재생 효과　◆메인 장비시 / 주인공만


バレンタインソード,발렌타인 소드
聖なる日、思いを込めて作られた愛の剣。チョコにも負けない甘い思いは、想い人に繋がる邪魔な赤い糸を全て断ち切り、自ら運命の糸を創造する。欠点として熱に弱く、極稀に蕩けてしまうが、愛とは蕩けるものだ。,"거룩한 날, 마음을 담아 만든 사랑의 검。초콜릿 못지않은 달콤한 감정은 사랑하는 연인과의 연결에 방해되는 붉은 실을 전부 끊어내고 스스로 운명의 실을 창조한다。약점은 열에 약하고 극히 드물게 녹아버리지만 사랑이란 녹는 것이다"
デア・パフューム,디어 퍼퓸
光属性ダメージ(特大)/自分のHP回復,광속성 데미지(특대) / 자신의 HP 회복


アスカロン,아스칼론
翼を有する厄災の象徴を幾度と打ち滅ぼしてきた至高の一品。振り抜かれた一撃は天を飛ぶ巨躯を的確に切り裂いて、反撃の隙を与えず無に還す。,"날개를 가진 재앙의 상징을 몇 번이고 토멸한 지고의 검。그 일격은 하늘을 나는 거구를 정확하게 가르고, 반격의 틈을 주지 않고 무로 되돌린다"
ゲオルギウスブレード,게오르기우스 블레이드
土属性ダメージ(特大)/対象がブレイク時に追加ダメージ,토속성 데미지(특대) / 대상이 브레이크 시 추가 데미지
竜穿の一撃,용천의 일격
ダブルアタック確率上昇　◆メイン装備時/主人公のみ,더블어택 확률 상승　◆메인 장비시 / 주인공만


ラスト・シン,러스트 씬
ヴィーラがシュヴァリエに主と認められた際に変化した、彼女の愛剣。狂おしい想いに刃は共鳴し、愛する者に群がる不埒な虫共を殲滅する。,비라가 슈발리에에게 주인으로 인정받았을 때 변화한 그녀의 애검。미칠것 같은 마음에 검이 공명하며 사랑하는 자에게 떼지어 모여드는 괘씸한 벌레들을 섬멸한다
コンヴィクションネイル,컨빅션 네일
闇属性ダメージ(特大)/トリプルアタック確率UP,암속성 데미지(특대) / 트리플 어택 확률 UP
狂恋の抱擁,광련의 포옹
トリプルアタック確率上昇　◆主人公のみ,트리플 어택 확률 상승　◆주인공만


バハムートソード・ノヴム,바하무트 소드・노붐
創世の龍の鋭利な爪を象り、畏怖の念を込めて造られた剣。振り抜かれた斬撃は大地の芯を抉り取り、遥かなる空の底へ叩き墜とす。,창세의 용의 예리한 손톱에 경외심을 담아 만든 검。이 검의 참격은 대지의 심지를 도려내고 아득한 하늘의 저편으로 떨어뜨린다
レギンレイヴ,레긴레이브
闇属性ダメージ(特大)/攻撃UP,암속성 데미지(특대) / 공격 UP
コンキリオ・ルーベル,콩킬리오・루벨
ヒューマン族とドラフ族の攻撃力/HP上昇,휴먼과 드라프의 공격력 / HP 상승


スコフニュング,스코프눙
苦しみ嘆く人々に差し伸ばされる悪を斬る心と剣は呼応し、真なる姿を解放する。絶望に沈みゆく人々の心を掬い、邪悪の心を持つ存在を一片も残さず滅し、安寧を齎す。,고통받고 슬퍼하는 사람들을 위해 악을 베겠다는 마음에 검은 반응하여 진정한 힘을 해방한다。절망에 빠져드는 사람들의 마음을 구하고 사악한 마음을 지닌 존재를 한 조각도 남김없이 멸하고 안녕을 가져온다
マディストリーム,머디 스트림
水属性ダメージ(特大)/奥義ゲージUP(**%),수속성 데미지(특대) / 오의 게이지 UP(**%)
不屈なる忠義,불굴의 충의
ドライブバーストの効果UP,드라이브 버스트의 효과 UP
救世の聖剣,구세의 성검
確率でかばう効果,확률로 감싸기 효과


七星剣・紅天,칠성검・홍천
紅蓮に燃ゆる宝珠が認めるは、力強く胎動する生命の輝き。天地万物を燼と化す比類なき劫火は黒煙を燻らせ、彼方へ続く天の道を指し示す。我が往く道を、今、与えん。,붉게 타오르는 보주가 인정하는 것은 힘차게 태동하는 생명의 빛。천지만물을 잿더미로 만드는 무자비한 겁화는 흑연을 일으키고 저편으로 이어지는 하늘의 길을 가리킨다。내가 나아가야 할 길을、지금 주리라
北斗大極閃＋＋,북두대극섬＋＋


七星剣・蒼天,칠성검・창천
叡聖の渦巻く宝珠が認めるは、真理を括目する賢哲の輝き。凍寒の波濤は、塞き上げる理を全て飲み込み、彼方へ続く天の道を指し示す。我が往く道を、今、与えん。,예성이 소용돌이 치는 보주가 인정하는 것은 진리를 괄목하는 현철의 빛。동한의 파도는 역류하는 법칙을 집어삼키며 저편으로 이어지는 하늘의 길을 가리킨다。내가 나아가야 할 길을、지금 주리라

七星剣・轟天,칠성검・굉천
創世の胤を孕みし宝珠が認めるは、不動たる神気の輝き。天に座す大地を掌握する力は、唯一無二の回廊を創造し、彼方へ続く天の道を指し示す。我が往く道を、今、与えん。,"창세의 혈통을 품은 보주가 인정하는 것은 부동하는 만물근본의 빛。하늘에 앉은 땅을 장악하는 힘은 유일무이한 회랑을 창조하고 저편으로 이어지는 하늘의 길을 가리킨다。내가 나아가야 할 길을, 지금 주리라"

七星剣・疾天,칠성검・질천
天の情緒を象る宝珠が認めるは、万理一空の境地に至りし魂の輝き。幾万の時を巡る風は万物の穢れを浄化し、彼方へ続く天の道を指し示す。我が往く道を、今、与えん。,"하늘의 정서를 나타내는 보주가 인정하는 것은 만리일공의 경지에 이른 영혼의 빛。수만번을 순환한 바람은 만물의 더러움을 정화하고 저편으로 이어지는 하늘의 길을 가리킨다。내가 나아가야 할 길을, 지금 주리라"

七星剣・白天,칠성검・백천
聖徳の天光を発する宝珠が認めるは、縁を重んじる尊い心の輝き。紡ぐ想いは決して砕けることはなく、束ねられし縁は彼方へ続く天の道を指し示す。我が往く道を、今、与えん。,"성덕의 천광을 발하는 보주가 인정하는 것은 인연을 소중히 하는 고귀한 마음의 빛。자아낸 마음은 결코 부서지지 않고, 묶인 인연은 저편으로 이어지는 하늘의 길을 가리킨다。내가 나아가야 할 길을, 지금 주리라"

七星剣・黒天,칠성검・흑천
暴食を有する宝珠が認めるは、全てを掴まんとする飽くなき渇望の輝き。無限に噴き出す闇は善悪を平等に滅して安寧と嘯き、彼方へ続く天の道を指し示す。我が往く道を、今、与えん。,"폭식을 가진 보주가 인정하는 것은 모든 것을 움켜쥐려는 끝없는 갈망의 빛。무한히 내뿜는 어둠은 선악을 평등하게 멸하고 안녕의 저편으로 이어지는 하늘의 길을 가리킨다。내가 나아가야 할 길을, 지금 주리라"


オートクレール,오트클레르
高くして清らかにあり続ける澄徹の刃は仲間を想い、絆を重んじることで輝きを増す。心を癒やす調和の光はいついかなる時も主を見捨てず、消えることの無い絆を讃え続ける。,맑고 투명한 칼날은 동료를 생각하고 인연을 존중하는 것으로 빛을 더한다。마음을 어루만지는 조화의 빛은 언제 어디서나 주인을 저버리지 않고 사라지지 않는 인연을 찬양한다
ロンセスバージェス,론세스바예스
光属性ダメージ(特大)/無属性追加ダメージ,광속성 데미지(특대) / 무속성 추가 데미지
雷迅卿の剣技,뇌신경의 검술
連続攻撃確率上昇　◆メイン装備時/主人公のみ,연속공격 확률 상승　◆메인 장비시 / 주인공만


ローエングリン,로엔그린
白刃を伝う紅蓮は英雄の挽歌を謡い、万象の尽くを傅かせる。大気を燻らす劫火は運命を歪め、起こり得る悲劇の種を残さず焼き払う。,"예리한 칼날을 따라서 피어오르는 홍련은 영웅의 진혼곡을 부르며 만상을 조아리게 만든다。대기를 태우는 겁화는 운명을 뒤틀고, 비극의 씨앗을 남김없이 태워 없애버린다"
リゴメール,리고메르
火属性ダメージ(特大)/攻撃UP,화속성 데미지(특대) / 공격 UP
先制の炎壁,선제의 염벽
バトル開始時から*ターンの間火属性キャラの防御力上昇,배틀 시작부터 *턴 동안 화속성 캐릭터의 방어력 상승
尽忠炎帝,충성을 다하는 염제
恐怖状態の敵に対して火属性追撃効果　◆メイン装備時/主人公のみ,공포 효과에 걸린 적에게 화속성 추격 효과　◆메인 장비시 / 주인공만


フェアーソード,페어 소드
英知の剣は万物の根源たる力を宿し、奇跡を統べる麗しき主と共に顕現する。扱う者すべてに等しく力を与え、己が信念を貫くための刃となる。,예지의 검은 만물의 근원인 힘을 담고 기적을 다스리는 아름다운 주인과 함께 현현한다。모든 사람에게 동등한 힘을 주고 자신의 신념을 관철하기 위한 칼날이 된다
アサルトダンス,어설트 댄스
火属性ダメージ(特大)/アビリティダメージUP,화속성 데미지(특대) / 어빌리티 데미지 UP


ミュルグレス,뮈르글레
至誠の心に応じて、その刃は深蒼の輝きを増す。刀身に絡みつく白金の装飾は、刃に宿されし誓いを永久不変のものと為す。,진실한 마음에 반응한 그 칼날은 더욱 깊고 푸르게 빛난다。도신에 휘감긴 백금장식은 검에 한 맹세를 영구불변으로 만든다
レーゲンス,레겐스
水属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%),수속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷(**%)


ディープデザイア,딥 디자이어
黒き神秘の石は、文字も言葉も無い古の時代より人の手にあった。鋭き破片は鈍らぬ切れ味を持つ剣へと姿を変えた。それは幾多の戦いで用いられる武器であり、また人々が糧を分け合うための道具でもあった。生存という最も深き欲望を、最も長く見守った物のひとつである。,신비한 검은 돌은 문자도 언어도 없는 구시대에 존재한 사람에게 있었다。날카로운 파편은 무뎌지지 않는 예리한 검으로 탈바꿈했다。그것은 수많은 전투에서 사용되는 무기이자 음식을 나누어 먹기 위한 도구이기도 했다。생존이라는 가장 깊은 욕망을 오랫동안 지켜봐 온 것 중 하나이다
フラットサースト,플랫 썰스트
土属性ダメージ(特大)/ダブルアタック確率UP,토속성 데미지(특대) / 더블어택 확률 UP


大地の剣,대지의 검
ティターンの圧倒的な膂力を持ってして、初めて扱える大剣。刀身に刻まれた無数の傷は、潜り抜けた死線の数を物語る。,티탄의 압도적인 근력을 충분히 버텨낸 대검。검에 새겨진 수많은 상처는 지금까지 넘어온 사선을 가늠할 수 있다
スレートウォール,슬레이트 월
土属性ダメージ(特大)/味方全体にバリア効果,토속성 데미지(특대) / 아군 전체에게 배리어 효과
巨人の守護,거인의 수호
HPがスキルLvに応じて上昇,HP가 스킬 Lv에 따라 상승
先制の岩壁,선제의 암벽
バトル開始時から*ターンの間土属性キャラの防御力上昇,배틀 시작부터 *턴 동안 토속성 캐릭터의 방어력 상승


オブシダンソード,옵시디언 소드
眩く耀く艶やかな闇は、振われるごとに身に纏う輝きの色を変える。蠱惑的に変化し続ける輝きは万人の心を虜にし、凄惨たる混沌を巻き起こす。,"눈부시게 빛나는 칼날의 어둠은, 계속해서 색을 바꿔나간다。고혹적으로 변화하는 빛은 만인의 마음을 사로잡고 처참한 혼돈을 야기한다"
ブラックサージ,블랙 서지
闇属性ダメージ(特大)/稀に光と闇属性ダメージカット消去,암속성 데미지(특대) / 드물게 광・암속성 데미지 컷 소거


ウットリュフ串,송로버섯 꼬치
とある銃工房の裏山を支配する存在。その芳香は茸類の王と双璧をなし、人・獣・魔を問わず香しき女王の足元に傅かせる。,"어느 총기 공방의 뒷산을 지배하는 존재。그 냄새는 버섯류의 왕과 쌍벽을 이루며, 인간・짐승・마물을 불문하고 향기로운 여왕의 발밑에 조아린다"
マイコニドの山,마이코니드의 산
土属性ダメージ(特大)/アビリティダメージUP,토속성 데미지(특대) / 어빌리티 데미지 UP


スコフニュング・リビルド,스코프눙・리빌드
マディストリーム＋＋,머디 스트림＋＋

スコフニュング・ウヌ,스코프눙・우누
火属性ダメージ(特大)/奥義ゲージUP(**%)/防御UP,화속성 데미지(특대) / 오의 게이지 UP(**%) / 방어 UP

スコフニュング・ドゥ,스코프눙・두

スコフニュング・トリ,스코프눙・트리

スコフニュング・クヴァール,스코프눙・크바르

スコフニュング・クヴィン,스코프눙・크빈

スコフニュング・セス,스코프눙・세스


グラム,그람
軍功授ける伝説の一振りは血風戦塵を求め修羅へ切り込むも、敢え無く神威を受けて破砕されん。然れども龍血浴びて蘇り、仄暗き深淵を揺らぐ不滅の妖刃を取り戻さん。,"피바람 부는 전선에 수라처럼 쳐들어가, 허무하게 공격을 받아 바스라졌다. 그러나 용혈을 받고 되살아나, 어스름한 심연에서 흔들리는 불멸의 마검을 잡는다"
ヴォルスンガ・サガ,볼숭 사가
闇属性ダメージ(特大)/スロウ効果,암속성 데미지(특대) / 슬로우 효과


光の剣,빛의 검
久遠の果てに揺蕩いし闇を撒くもの、異界の魔王の断片がひとつ。人智の及ばぬ業により使い手の精神力を眩き烈光の刃と成し、万象を斬り裂く。とある伝説に語られし勇者がこれを手に、瘴気の魔獣を滅ぼしたという。,영원의 끝에서 일렁이며 어둠을 뿌리는 것、이계의 마왕이 창조한 무기 중 하나。사람의 정신력을 열광의 칼날로 만들어 모든 것을 베어버린다。전설에 의하면 어떤 용사가 이 무기를 들고 독기의 마수를 쓰러뜨렸다고 한다
烈光の剣,열광의 검
烈光の至恩,열광의 은혜


ブラスト・ソード,블래스트 소드
世の覇権を賭け戦ったという赤の竜神の武器がひとつ。人智の及ばぬ業により周囲に満ちる魔力を食らって刃と成し、万象を斬り裂く。己を包む鞘さえも断つというその過剰なまでの鋭さがゆえ、とある術により刃を鈍らされている。,세상의 패권을 걸고 싸웠다는 붉은 용신의 무기 중 하나。주위에 찬 마력을 먹고 칼날을 만들고 만상을 베어낸다。칼집조차 베어버리는 그 과잉한 예리함 때문에 고육지책으로 칼날을 무디게 하였다
斬妖剣,참요검
水属性ダメージ(特大)/攻撃UP,수속성 데미지(특대) / 공격 UP
自動辻斬装置,자동 썰기 기계


オーラフラジェルム,오라 플라셰름
茫々たる魔力漲る無形の鞭は千変万化の夢を見る。ゆめゆめその影を追うなかれ。永劫を封ぜし緑青の揺らぎは捉えること能わず、夢幻の果てより贄を打ち払わん。
サインクラッド,사인 클라드
光属性ダメージ(特大)/自分にバリア効果,광속성 데미지(특대) / 자신에게 배리어 효과


シュヴァリエソード・マグナ,슈발리에 소드・마그나
騎士の栄誉は揺るがぬ一心にあり、懸命な献身にのみ現れる。誓いと矜持を守るべく、己が身を賭す輝ける刃は、並み居る凶賊を打ち払う。,"기사의 영광은 흔들림없는 일심에 있어, 목숨을 건 헌신에만 드러난다. 맹세와 긍지를 지키기 위해, 자기 몸을 내건 빛나는 칼날은, 수많은 흉적을 타도한다"
光の刃,빛의 칼날
光属性ダメージ(特大)/稀に強化効果を*つ無効化,광속성 데미지(특대) / 드물게 강화 효과를 *개 무효화


アシュケロン,아슈켈론
剣の道を極めんと至高の一閃を追う求道者に呼応し、真なる姿を解放する。その一振りは剣の真理を得て覚醒の境地へと至り、一筋の閃光が無明の闇を突き破る。
アウレア,아우레아
火属性ダメージ(特大)/奥義ゲージUP(**%),화속성 데미지(특대) / 오의 게이지 UP(**%)
征伐の剣,정벌의 검
剣気上限UP(サブ装備時効果半減),검기 상한 UP (서브 장비시 효과 반감)
深紅の支配者,심홍의 지배자
"<span class=""text-small"">剣気が付与されている時、風属性ダメージを軽減(サブ装備時効果半減)<br>◆主人公のみ</span>","<span class=""text-small"">검기가 부여되어있을 때, 풍속성 데미지를 경감 (서브 장비시 효과 반감) ◆주인공만</span>"


アシュケロン・リビルド,아슈켈론・리빌드
英雄の携えた剣は、鍛錬の果てに新たな礎を得た。秘めたる力をその身に宿し、覚醒の時を待つ。,"영웅의 검은 연마 끝에 새로운 초석을 얻었다。그 몸에 힘을 간직한 채, 각성의 때를 기다린다"
アウレア＋＋,아우레아＋＋


アシュケロン・ウヌ,아슈켈론・우누
剣に生き剣を極めし者のみが知る猛炎の一閃は、此岸の穢れをことごとく滅却する。寂滅した世界の中で熱き剣を振り続ける者を、いつしかひとは剣の聖と呼んだ。
火属性ダメージ(特大)/奥義ゲージUP(**%)/剣気が付与されている時、剣気を*回復,"화속성 데미지(특대) / 오의 게이지 UP(**%) / 검기가 부여되어 있을 때, 검기를 * 회복"

アシュケロン・ドゥ,아슈켈론・두
剣に生き剣を極めし者のみが知る怒濤の一閃は、此岸の穢れをことごとく漱ぐ。寂滅した世界の中で清らかな剣を振り続ける者を、いつしかひとは剣の聖と呼んだ。
水属性ダメージ(特大)/奥義ゲージUP(**%)/剣気が付与されている時、剣気を*回復,"수속성 데미지(특대) / 오의 게이지 UP(**%) / 검기가 부여되어 있을 때, 검기를 * 회복"
紺碧の支配者,감청의 지배자
"<span class=""text-small"">剣気が付与されている時、火属性ダメージを軽減(サブ装備時効果半減)<br>◆主人公のみ</span>","<span class=""text-small"">검기가 부여되어있을 때, 화속성 데미지를 경감 (서브 장비시 효과 반감)<br>◆주인공만</span>"


アシュケロン・トリ,아슈켈론・트리
アシュケロン・クヴァール,아슈켈론・크바르
アシュケロン・クヴィン,아슈켈론・크빈


アシュケロン・セス,아슈켈론・세스
